titre;id;abstract_type;publication_status;is_paid;reference;page_count;url;affiliations;is_approved;approved_date;downloads;author_1_id;author_1_last_name;author_1_first_name;author_1_url;author_2_id;author_2_last_name;author_2_first_name;author_2_url;author_3_id;author_3_last_name;author_3_first_name;author_3_url;author_4_id;author_4_last_name;author_4_first_name;author_4_url;paperDate;abstract;lang;lang_prob;lang_abs;lang_prob_abs;lang_match;and_count;author1_affi_raw;author2_affi_raw;author_1_institution;author_1_ror_url;author_1_country;author_1_ror_status;author_1_ror_id;author_2_institution;author_2_ror_url;author_2_country;author_2_ror_status;author_2_ror_id
Economic Backwardness and Catching Up: Brazilian Agriculture, 1964-2014;2732660;Accepted Paper Series;UNDER REVIEW;False;International Journal of the Commons, Vol. 10, No 1 2016;26;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2732660;Indiana University and Universidade de Brasilia;True;16 Feb 2016;46;99608;Alston;Lee J.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=99608;196809.0;Mueller;Bernardo;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=196809;;;;;;;;;2016-02-01;Alexander Gerschenkron understood the development of backward countries as a contextual process that varied from country to country depending on which perquisites were present or absent. In the past twenty years, Brazilian agriculture evolved from “backward” to an agricultural powerhouse. Its production and total factor productivity more than doubled. Brazil is in the worlds’ top five producers of coffee, soybeans, oranges, beef and corn. Yet, some segments of agriculture lag far behind. We draw on the insights of Gerschenkron and Albert Hirschman, inter alia to conceptualize the development process. As an illustrative aid we apply fitness landscapes to the process of development. Fitness landscapes are good representations of a contextual view of development. We portray the process as an evolutionary search for good designs across a large, uncertain and not pre-statable set of possibilities. In such circumstances a controlled strategy of following predetermined stages is not effective. Rather we need an approach relying on creativity and imagination to find solutions to specific problems faced by each country.;en;0.7299238443374634;en;0.926316499710083;True;1;Indiana University;Universidade de Brasilia;Indiana University;https://ror.org/01kg8sb98;United States;matched;01kg8sb98;Universidade de Brasília;https://ror.org/02xfp8v59;Brazil;matched;02xfp8v59
Economic Backwardness and Catching Up: Brazilian Agriculture, 1964&ndash2014;2732465;Working Paper Series;UNDER REVIEW;False;NBER Working Paper No. w21988;31;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2732465;Indiana University and Universidade de Brasilia;True;15 Feb 2016;32;99608;Alston;Lee J.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=99608;196809.0;Mueller;Bernardo;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=196809;;;;;;;;;;Alexander Gerschenkron understood the development of backward countries as a contextual process that varied from country to country depending on which perquisites were present or absent. In the past twenty years, Brazilian agriculture evolved from “backward” to an agricultural powerhouse. Its production and total factor productivity more than doubled. Brazil is in the worlds’ top five producers of coffee, soybeans, oranges, beef and corn.  Yet, some segments of agriculture lag far behind. We draw on the insights of Gerschenkron and Albert Hirschman, inter alia to conceptualize the development process. As an illustrative aid we apply fitness landscapes to the process of development. Fitness landscapes are good representations of a contextual view of development. We portray the process as an evolutionary search for good designs across a large, uncertain and not pre-statable set of possibilities. In such circumstances a controlled strategy of following predetermined stages is not effective. Rather we need an approach relying on creativity and imagination to find solutions to specific problems faced by each country.;en;0.690858006477356;en;0.926316499710083;True;1;Indiana University;Universidade de Brasilia;Indiana University;https://ror.org/01kg8sb98;United States;matched;01kg8sb98;Universidade de Brasília;https://ror.org/02xfp8v59;Brazil;matched;02xfp8v59
Productivity Shocks, International Trade and Import Prices: Evidence from Agriculture;2728245;Accepted Paper Series;UNDER REVIEW;False;IFN Working Paper No. 1107;33;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2728245;Swedish University of Agricultural Sciences (SLU) - Department of Economics and The Royal Swedish Academy of Sciences - Beijer International Institute of Ecological Economics;True;05 Feb 2016;165;610169;Ferguson;Shon M.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=610169;1783015.0;Gars;Johan;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1783015;;;;;;;;;2016-02-05;The purpose of this study is to measure the sensitivity of trade volumes and unit values to agricultural productivity shocks at home and abroad. We find that the unit values of trade flows vary systematically with production shocks using both aggregate data on a large sample of countries and detailed firm-level imports to Sweden. We find that import prices increase (and import volumes fall) when importer production increases. This result is likely driven by a change in the quality composition of imports or by economies of scale in international trade. This beneficial terms-of-trade effect that we find may thus be an important coping mechanism for food net-importing countries that experience negative production shocks. Our results also suggest that trade volumes are relatively insensitive to changes in production. The results suggest that trade frictions, product differentiation and storage limit the role of international trade as way of coping with production volatility.;en;0.6797687411308289;en;0.911431849002838;True;1;Swedish University of Agricultural Sciences (SLU) - Department of Economics;The Royal Swedish Academy of Sciences - Beijer International Institute of Ecological Economics;Swedish University of Agricultural Sciences;https://ror.org/02yy8x990;Sweden;matched;02yy8x990;Royal Swedish Academy of Sciences;https://ror.org/00j62qv07;Sweden;matched;00j62qv07
The Climate Challenge for Agriculture and the Value of Climate Services: Application to Coffee-Farming in Peru;2717416;Working Paper Series;UNDER REVIEW;False;Center of Economics Research (ETH Zurich), Working Paper No. 16/231;40;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2717416;ETH Zürich - CER-ETH - Center of Economic Research at ETH Zurich and ETH Zürich;True;19 Jan 2016;157;1831210;Lechthaler;Filippo;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1831210;2287486.0;Vinogradova;Alexandra;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2287486;;;;;;;;;2016-01-14;The use of climate information in economic activities, typically provided by climate services, may serve as a possible adaptation strategy to changing climate conditions. The present paper analyzes the value of climate services aimed at improving agricultural productivity through a reduction in weather-associated risks. In the first part, we provide a theoretical foundation for estimating the value of climate services by proposing a stochastic life-cycle model of a rural household which faces uncertainty with respect to the timing and the size of an adverse weather shock. We subsequently calibrate the model to match the environment of coffee producers in the Cusco region of Peru and provide a range of estimates for the value of climate services for a single average household, the region, and the country as a whole. In the second part of the paper we use empirical data to verify the numerical estimates. We assess the value of climate services in the agricultural sector in Cusco based on a choice experiment approach. Data are analyzed using a standard as well as a random parameter logit model allowing for preference heterogeneity. Farmers show a significant willingness-to-pay for enhanced climate services which is particularly related to the service accuracy and geographic resolution. On average, the yearly value of a climate service in the coffee sector is found to be in the range $20.64 - $21.10 per hectare and $8.1 - $8.2 million for Peru as a whole.;en;0.8244285583496094;en;0.9305623769760132;True;1;ETH Zürich - CER-ETH - Center of Economic Research at ETH Zurich;ETH Zürich;ETH Zurich;https://ror.org/05a28rw58;Switzerland;matched;05a28rw58;ETH Zurich;https://ror.org/05a28rw58;Switzerland;matched;05a28rw58
Sequential Adoption and Cost Savings from Precision Agriculture;2714959;Accepted Paper Series;UNDER REVIEW;False;Journal of Agricultural and Resource Economics, Volume 41, Number 1;0;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2714959;Economic Research Service (ERS), Science & Technology PPQ and U.S. Department of Agriculture (USDA) - Economic Research Service (ERS);True;14 Jan 2016;0;285977;Schimmelpfennig;David;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=285977;351067.0;Ebel;Robert;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=351067;;;;;;;;;2016-01-13;Precision agricultural (PA) technologies can decrease input costs by providing farmers with more detailed information and application control, but adoption has been sluggish, especially for variable-rate technologies (VRT). Is it possible that farmers have difficulty realizing these cost savings? Combinations of PA technologies are considered as complements, testing several atterns of PA technology adoption that may show different levels of costs. The USDA’s Agricultural Resource Management Survey of corn producers is used to estimate a treatment-effects model that allows for selection bias. VRT contributes additional production cost savings when added to soil mapping, but not when done with yield mapping alone.;en;0.8134152293205261;en;0.9212538003921508;True;1;Economic Research Service (ERS), Science & Technology PPQ;U.S. Department of Agriculture (USDA) - Economic Research Service (ERS);Economic Research Service;https://ror.org/05ycxzd89;United States;matched;05ycxzd89;United States Department of Agriculture;https://ror.org/01na82s61;United States;matched;01na82s61
Payments for Environmental Services to Promote Climate-Smart Agriculture? Potential and Challenges;2712385;Working Paper Series;UNDER REVIEW;False;;0;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2712385;School of Economics and Business Administration and University of Zurich - Socioeconomic Institute;True;09 Jan 2016;0;2496272;Engel;Stefanie;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2496272;1211977.0;Muller;Adrian;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1211977;;;;;;;;;2016-01-02;Payments for environmental services (PES) have gained wide popularity as an approach to promote environmentally friendly land use or agricultural production practices. Yet academics have also voiced caveats against seeing PES as a panacea. This article discusses whether PES is an appropriate and promising approach to promote so-called ‘climate-smart agriculture’ (CSA), which has been defined as agricultural production practices that contribute to CO2 emission reductions and/or removals and provide benefits to farmers via increased productivity and profits and reduced vulnerability to climate change. We start by providing basic background knowledge on PES, and then review its main promises and evidence on the realities of fulfilling these promises. The core of this article presents a number of guiding questions and corresponding answers for the discussion of whether PES is an appropriate tool to promote CSA. We conclude that PES appears most promising for the promotion of CSA activities in settings of small-scale farming with relatively low incomes. Effective design, however, will require solid estimates of the flow of costs and benefits from CSA adoption over time, and accounting for differences in socio-economic and ecological conditions, and will need to address the risk of leakage. Core funding for such PES will likely have to come from public sources, and seems most promising where synergies with other objectives such as agricultural development, food security and climate adaptation or other environmental services exist. The potential of alternative approaches for CSA support such as taxation with rebates for CSA activities, CSA-related investment support such as micro-credits, and hybrid approaches such as conditional microcredit should be further investigated.;en;0.8697782158851624;en;0.9558150768280028;True;2;;;;;;empty_affiliation;;;;;empty_affiliation;
Using Crop Genetic Resources to Help Agriculture Adapt to Climate Change: Economics and Policy;2709190;Working Paper Series;UNDER REVIEW;False;USDA-ERS Economic Information Bulletin Number 139;29;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2709190;U.S. Department of Agriculture (USDA) - Economic Research Service (ERS) and U.S. Department of Agriculture (USDA) - Economic Research Service (ERS);True;31 Dec 2015;179;85439;Heisey;Paul;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=85439;355838.0;Day-Rubenstein;Kelly;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=355838;;;;;;;;;2015-04-01;Climate change poses significant risks to future crop productivity as temperatures rise, rainfall patterns become more variable, and pest and disease pressures increase. The use of crop genetic resources to develop varieties more tolerant to rapidly changing environmental conditions will be an important part of agricultural adaptation to climate change. Finding new genetic traits that can facilitate adaptation — and incorporating them into commercially successful varieties — is time-consuming, expensive, and technically difficult. The public-goods characteristics of genetic resources can create obstacles to rewards for private research and development. Because of insufficient private incentives, public-sector investment in the use of genetic resources will help determine the agricultural sector’s ability to maintain crop productivity, and for society as a whole, the potential benefits of public investment are large. The study authors find, however, that factors such as intellectual property rules for genetic resources and for research tools, or international agreements governing genetic resource exchange, have the potential both to promote and to hamper greater use of genetic resources for climate change adaptation.;en;0.7319214940071106;en;0.9136935472488404;True;1;U.S. Department of Agriculture (USDA) - Economic Research Service (ERS);U.S. Department of Agriculture (USDA) - Economic Research Service (ERS);United States Department of Agriculture;https://ror.org/01na82s61;United States;matched;01na82s61;United States Department of Agriculture;https://ror.org/01na82s61;United States;matched;01na82s61
State and Local Tax Policy;2990527;Working Paper Series;UNDER REVIEW;False;;9;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2990527;and  George Mason University, Department of Economics, Students;True;22 Jun 2017;81;2268063;Millsap;Adam;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2268063;2452813.0;Gonzalez;Olivia;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2452813;;;;;;;;;2016-01-12;This paper provides an overview of economically efficient tax policy for state and local policy makers and contains a short literature review of papers that analyze the economic effects of state and local taxes.;en;0.9627483487129213;en;0.908578872680664;True;0;;;;;;empty_affiliation;;;;;empty_affiliation;
From Aristotle, Augustine, Aquinas, and Adam (Smith) to Concordian Monetary Policy - How to Use Public Policy to Guide Accumulation toward Virtuous Ends;2980194;Working Paper Series;UNDER REVIEW;False;;14;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2980194;California State University, Dominguez Hills and The Somist Institute;True;05 Jun 2017;95;1033456;Brady;Michael Emmett;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1033456;856905.0;Gorga;Carmine;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=856905;;;;;;;;;2017-06-04;Aristotle, followed by Augustine, Aquinas, and Adam Smith, recognized, to a lesser or greater degree, that the ownership and control of private property (wealth, money, riches) is an initial, necessary condition to be able to put one’s self in a position to help others in need. A person is or has been corrupted by the process of wealth creation if that person decides that he/she will not help others in need.Adam Smith attempted to move beyond the political analysis of Aristotle, Augustine, and Aquinas on the question of whether economic growth (accumulation of wealth) would or would not promote Virtue (giving) or Vice (greed). Smith believed that the effective control of money and loans by an independent, Central Bank would create an institution that could promote the fortunes of those who were charitable (the sober people) while penalizing/neutralizing those who were greedy (the prodigals, projectors, and imprudent risk takers). This would prevent a state from degenerating into the type of state epitomized by Athens in 400 BC. The Central Bank would maintain the dominant economic position of a very large, prudent, circumspect, judicious, careful, frugal, thriving middle class by skewing credit and loans toward them and away from the prodigals, projectors, and imprudent risk takers, who made up the rich, upper income class. History did not bless Adam Smith with the achievement of his ideals, ideals that were a distillation of the wisdom of the ages. Another chance is given us by the development of Concordian monetary policy. Will we avail ourselves of this opportunity?;en;0.7963843941688538;en;0.9649178385734558;True;1;California State University, Dominguez Hills;The Somist Institute;California State University, Dominguez Hills;https://ror.org/04pyvbw03;United States;matched;04pyvbw03;The TAU Institute;https://ror.org/05ccm7722;Pakistan;matched;05ccm7722
Bedrock, Ltd;2975226;Working Paper Series;UNDER REVIEW;True;Darden Case No. UVA-S-0206;3;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2975226;University of Virginia - Darden School of Business and affiliation not provided to SSRN;True;02 Jun 2017;10;277448;Laseter;Timothy M.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=277448;2710492.0;Yoxtheimer;Adam;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2710492;;;;;;;;;;Recent economic events that started in the United States but are occurring globally have caused coal markets to decline both in price and volume. Bedrock has recently engaged a general management consulting firm to analyze its portfolio in order to determine how it can optimize its mining assets to operate most profitably. In this exercise, students are given questions to answer and provided with a data set to facilitate their analysis.ExcerptUVA-S-0206Apr. 30, 2012BEDROCK, LTD.Bedrock, Ltd., (Bedrock) engages in the excavation of coal both for power generation and for steel production processes. Although it principally operates in Australia, it owns reserves and mines in several countries worldwide, including Indonesia, South Africa, and the United States. It participates in a global commodity market that, all told, comprises more than a billion tons of coal exported across international lines every year. It also participates in domestic markets for coal, including that of the United States  most of the coal produced in the United States is consumed in the United States.Metallurgical coal, also called “met coal,” is used as a primary input into the steelmaking processes globally. It is first converted from its raw form into coke, a highly concentrated and pure form of the carbon-based substance. Subsequently, it is mixed with iron ore and other additives in a blast oven furnace to create a reaction that yields molten steel. With the recent growth of many Asian economies, met coal has seen generally strong demand, although the economic downturn that began in 2007 has raised concerns over its market sustainability.In contrast, thermal coal (or steam coal) is used as a major fuel source for electricity generation. The United States has long relied on plentiful, inexpensive coal to power its electrification and, correspondingly, its economic growth. Coal began to fuel power plants in the United States as early as 1882, when Thomas Edison constructed the first coal-fired power plant, Pearl Street Station, to serve 59 customers in New York City. Edison famously stated at his first public exhibition of the incandescent light bulb, “After the electric light goes into general use none but the extravagant will burn tallow candles.” So critically important has coal been to the evolution of the United States' electrification that it has held the highest market share as a fuel source for electricity generation for more than 50 years.. . .;en;0.6652113199234009;en;0.966699481010437;True;1;University of Virginia - Darden School of Business;affiliation not provided to SSRN;University of Virginia;https://ror.org/0153tk833;United States;matched;0153tk833;Girls Not Brides;https://ror.org/04nm9tm11;United Kingdom;matched;04nm9tm11
The Euro Zone and the Sovereign Debt Crisis;2974474;Working Paper Series;UNDER REVIEW;True;Darden Case No. UVA-F-1649;28;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2974474;University of Virginia - Darden School of Business and University of Virginia - Darden School of Business;True;30 May 2017;21;138499;Allayannis;George (Yiorgos);https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=138499;2709973.0;Risell;Adam;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2709973;;;;;;;;;;In January 2011, during the World Economic Forum's annual meeting in Davos, Switzerland, Jason Sterling, a hedge fund manager, was conducting online research to see if he could trade on any newsworthy information emerging from the summit. Sterling's fund traded primarily in sovereign debt, and he needed to figure out if European leaders would be able to come up with a viable solution to the crisis or whether the debt crisis would lead to the default of several European nations. He knew that if a solution was not found in the coming weeks, the sovereign debt markets could be thrown into turmoil.ExcerptUVA-F-1649Jul. 11, 2011THE EURO ZONE AND THE SOVEREIGN DEBT CRISISFor decades, the single European currency was merely an idea shared by a few people. Many others said that it could not be done or that it was bound to fail.—Jean-Claude TrichetJason Sterling sat on his hedge fund's Stamford, Connecticut, trading floor on January 28, 2011, scouring the Wall Street Journal and Bloomberg websites for any news coming out of the World Economic Forum's annual meeting in Davos, Switzerland. He knew that the emerging sovereign debt crisis in Europe would be a primary topic of discussion among the world leaders and bankers who had convened at the summit, and he was hoping to find some new information that he could trade on before the close of trading for the week. Sterling's fund traded primarily in sovereign debt, and he needed to figure out if European leaders would be able to come up with a viable solution to the crisis or whether the debt crisis would lead to the default of several European nations. At the forefront of the crisis was Greece, which faced ballooning deficits, rising interest payments, and the prospect of having to default on or restructure its outstanding debt. Ireland, Italy, Portugal, and Spain were the other euro zone countries that faced growing fiscal problems and were the focus of sovereign debt investors. Sterling knew that if a solution was not found in the coming weeks, the sovereign debt markets could be thrown into turmoil.;en;0.5485830307006836;en;0.9680936932563782;True;1;University of Virginia - Darden School of Business;University of Virginia - Darden School of Business;University of Virginia;https://ror.org/0153tk833;United States;matched;0153tk833;University of Virginia;https://ror.org/0153tk833;United States;matched;0153tk833
Jpmorgan and the Dodd-Frank Act;2974478;Working Paper Series;UNDER REVIEW;True;Darden Case No. UVA-F-1654;12;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2974478;University of Virginia - Darden School of Business and University of Virginia - Darden School of Business;True;30 May 2017;25;138499;Allayannis;George (Yiorgos);https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=138499;2709973.0;Risell;Adam;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2709973;;;;;;;;;;In October, the CEO of JPMorgan Chase & Co., is preparing for the company's 2010 Q3 earnings conference call and wondering how to address the inevitable questions related to financial reform. It has been just over two months since the Dodd-Frank Financial Reform and Consumer Protection Act (Dodd-Frank Act) had been passed, and there was still much uncertainty as to how JPMorgan should address the reforms. JPMorgan had reported stronger than expected EPS in the third quarter, but analysts were more concerned about what strategic initiatives the CEO would implement in response to the Dodd-Frank Act. The act had introduced wide-ranging and industry-changing reforms that were aimed primarily at fully integrated financial institutions such as JPMorgan. While most of the rulemaking would be forthcoming from regulatory authorities, the CEO knew it would be best to address these issues immediately to protect shareholders by avoiding uncertainty.ExcerptUVA-F-1654Rev. Mar. 13, 2012JPMORGAN AND THE DODD-FRANK ACTJamie Dimon, CEO of JPMorgan Chase & Co., sat in his office preparing for the company's 2010 Q3 earnings conference call on October 13 and wondering how to address the inevitable questions related to financial reform. It had been just over two months since the Dodd-Frank Financial Reform and Consumer Protection Act (Dodd-Frank Act) had been passed, and there was still much uncertainty as to how JPMorgan should address the reforms. JPMorgan had reported stronger than expected EPS in the third quarter, but analysts were more concerned about what strategic initiatives Dimon would implement in response to the Dodd-Frank Act. The act had introduced wide-ranging and industry-changing reforms that were aimed primarily at fully integrated financial institutions such as JPMorgan. While most of the rulemaking would be forthcoming from regulatory authorities, Dimon knew it would be best to address these issues immediately to protect shareholders by avoiding uncertainty.Reactions to ReformIn the months following passage of the Dodd-Frank Act, many experts offered mixed reactions. Some argued that the legislation would be ineffective because it failed to protect consumers adequately and did not do enough to curtail the “too big to fail” attitude. Others felt that the act overreached and was not an appropriate response to the preceding financial crisis. Most notably, Ed Yingling, president of the American Bankers Association, regarded the reforms as haphazard and dangerous. “To some degree, it looks like they're just blowing up everything for the sake of change,” he said.. . .;en;0.908438801765442;en;0.979726791381836;True;1;University of Virginia - Darden School of Business;University of Virginia - Darden School of Business;University of Virginia;https://ror.org/0153tk833;United States;matched;0153tk833;University of Virginia;https://ror.org/0153tk833;United States;matched;0153tk833
The Dodd-Frank Act and its Impact;2974479;Working Paper Series;UNDER REVIEW;True;Darden Case No. UVA-F-1655;13;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2974479;University of Virginia - Darden School of Business and University of Virginia - Darden School of Business;True;30 May 2017;11;138499;Allayannis;George (Yiorgos);https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=138499;2709973.0;Risell;Adam;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2709973;;;;;;;;;;The Dodd-Frank Act, in response to the preceding financial crisis of 2008–09, fundamentally changed the finance industry and greatly affected its biggest players. This technical note gives an overview of the Dodd-Frank Act, the most important parts of the act (and other regulatory reform), and the effect its reforms could have on the country's largest financial institutions. It is important to note that the Dodd-Frank Act does not necessarily create hard and fast rules but often provides only guidance for regulators to proceed with rulemaking activities.ExcerptUVA-F-1655Rev. Mar. 2, 2018The Dodd-Frank Act and Its ImpactOn July 21, 2010, President Obama signed into law the Dodd-Frank Wall Street Reform and Consumer Protection Act (Dodd-Frank Act), one of the most sweeping financial reform bills in the history of the United States. The Dodd-Frank Act, in response to the preceding financial crisis of 2008–09, fundamentally changed the finance industry and greatly affected its biggest players. This technical note gives an overview of the most important parts of the act (and other regulatory reform) and the effect these reforms may have on the country's largest financial institutions. It is important to note that the Dodd-Frank Act does not necessarily create hard and fast rules but often provides only guidance for regulators to proceed with rulemaking activities.Costs of the CrisisThe financial crisis of 2008–09 was far-reaching and the most expensive in history. The IMF estimates that the total worldwide cost of the crisis was $ 2.3 trillion, and the direct fiscal costs in the United States are estimated to be approximately 2% of the GDP or about $ 300 billion. But the costs could have been much higher. Public funds committed to the financial sector totaled as much as 30% of the GDP ($ 4.5trillion), and the initial fiscal outlays were approximately $ 700 billion (4%–4.5% of the GDP). Losses in private institutions were even greater. As a result of the financial crisis, financial institutions experienced write downs and credit losses of around $ 1.2 trillion or 8% of the GDP.. . .;en;0.988591969013214;en;0.9599187970161438;True;1;University of Virginia - Darden School of Business;University of Virginia - Darden School of Business;University of Virginia;https://ror.org/0153tk833;United States;matched;0153tk833;University of Virginia;https://ror.org/0153tk833;United States;matched;0153tk833
Ideological Extremists in the U.S. Congress: Out of Step but Still in Office;2970341;Working Paper Series;UNDER REVIEW;False;;50;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2970341;Stanford University and Stanford University;True;18 May 2017;519;1258340;Bonica;Adam;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1258340;54207.0;Cox;Gary W.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=54207;;;;;;;;;2017-05-06;"In the last generation, congressional moderates have become ideologically more extreme over the course of their careers. We explain this ""ideological migration"" of moderates as a side effect of close partisan competition for control of the US House since 1994. Competition for the House caused activists, donors and, indirectly, voters to focus on the battle for majority status. Increased attention to partisan competition reduced individual members' ability to escape blame for their parties' actions. Equivalently, it meant that members could deviate from their district preferences and pay a lower electoral penalty  they would be blamed in any event. Our empirical analysis shows that party-centeredness abruptly and dramatically increased after 1994, with the electoral penalty members paid for being out of step with their constituents correspondingly declining. This contributed to an important, albeit complicated, shift from local/personal to national/party representation.";en;0.8908681869506836;en;0.9544400572776794;True;1;Stanford University;Stanford University;Stanford University;https://ror.org/00f54p054;United States;matched;00f54p054;Stanford University;https://ror.org/00f54p054;United States;matched;00f54p054
Happiness is Flextime;2965318;Working Paper Series;UNDER REVIEW;False;Applied Research in Quality of Life, Forthcoming;12;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2965318;Rutgers, The State University of New Jersey, Camden and Pennsylvania State University - Abington College;True;11 May 2017;171;1327342;Okulicz-Kozaryn;Adam;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1327342;55317.0;Golden;Lonnie;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=55317;;;;;;;;;2017-03-02;We study how working schedule flexibility (flextime) affects happiness. We use a US General Social Survey (GSS) pooled dataset containing the Quality of Worklife and Work Orientations modules for 1998, 2002, 2006, 2010, and 2014. We retain only respondents who are either full-time or part-time employees on payrolls. For flextime to be associated with greater happiness, it has to be more than just sometimes flexible or slight input into one’s work schedule, that is, little flextime does not increase happiness. But substantial flextime has large effect on happiness–the size effect is about as large as that of household income, or about as large as one-step increase in self-reported health, such as up from good to excellent health. Our findings provide support for both public and organizational policies that would promote greater work schedule flexibility or control for employees.;en;0.9285666346549988;en;0.9635262489318848;True;1;Rutgers, The State University of New Jersey, Camden;Pennsylvania State University - Abington College;Rutgers, The State University of New Jersey;https://ror.org/05vt9qd57;United States;matched;05vt9qd57;Pennsylvania State University;https://ror.org/04p491231;United States;matched;04p491231
All Spending Is Not Equal: European Union Public Spending, Policy Feedback, and Citizens’ Support for the EU;2937725;Accepted Paper Series;UNDER REVIEW;False;European Journal of Political Research, Forthcoming;38;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2937725;Stockholm University and Leiden University;True;21 Mar 2017;70;1696298;Dellmuth;Lisa;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1696298;2102731.0;Chalmers;Adam William;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2102731;;;;;;;;;2017-03-20;While public support is central to the problem-solving capacity of the European Union (EU), we know little about when and why the EU can increase its citizens’ support through spending. Extensive research finds that citizens living in countries that are net beneficiaries of the EU budget are more supportive of the EU, assuming that citizens care equally about all forms of spending. We argue, however, that the amount of spending is only part of the story. Understanding the effects of spending on support requires a consideration of how transfers are spent. Drawing on policy feedback theories in comparative politics, we argue that support for the EU is a function of the fit between the spending area and economic need in individuals’ immediate living context. Results from a statistical analysis of EU spending on human capital, infrastructure, agriculture, energy, and environmental protection in 127 EU regions over the period 2001-2011 corroborate our argument. As the EU and other international organizations become increasingly publicly contested, the organizations themselves may increasingly try to shore up public support through spending, but they will only be successful under specific conditions.;en;0.7401566505432129;en;0.9333418011665344;True;1;Stockholm University;Leiden University;Stockholm University;https://ror.org/05f0yaq80;Sweden;matched;05f0yaq80;Leiden University;https://ror.org/027bh9e22;The Netherlands;matched;027bh9e22
